date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-24 00:00:00+00:00,2.0,1.6,120.0,6.3,66.0,0.0,984.7,1,1,1,1,1,1,1
2005-01-24 03:00:00+00:00,1.7000000000000002,1.2,123.0,4.6,65.0,0.0,986.6,1,1,1,1,1,1,1
2005-01-24 06:00:00+00:00,1.6,1.0,150.0,0.2,75.0,0.0,988.1,1,1,1,1,1,1,1
2005-01-24 09:00:00+00:00,1.1,0.7000000000000001,302.0,2.2,77.0,0.0,989.6,1,1,1,1,1,1,1
2005-01-24 12:00:00+00:00,0.9,0.9,22.0,0.9,79.0,0.0,991.0,1,1,1,1,1,1,1
2005-01-24 15:00:00+00:00,1.3,1.0,221.0,0.5,77.0,0.0,991.7,1,1,1,1,1,1,1
2005-01-24 18:00:00+00:00,1.4,1.3,269.0,1.1,84.0,0.0,991.7,1,1,1,1,1,1,1
2005-01-24 21:00:00+00:00,1.6,1.4,191.0,1.9,88.0,0.0,991.7,1,1,1,1,1,1,1
2005-01-25 00:00:00+00:00,1.6,1.1,211.0,2.6,83.0,0.0,991.4,1,1,1,1,1,1,1
2005-01-25 03:00:00+00:00,1.5,0.9,201.0,3.0,84.0,0.0,990.6,1,1,1,1,1,1,1
2005-01-25 06:00:00+00:00,1.3,0.9,202.0,2.0,87.0,0.0,989.7,1,1,1,1,1,1,1
2005-01-25 09:00:00+00:00,1.0,0.6000000000000001,206.0,3.0,85.0,0.0,989.6,1,1,1,1,1,1,1
2005-01-25 12:00:00+00:00,1.4,1.3,215.0,2.1,86.0,0.0,989.5,1,1,1,1,1,1,1
2005-01-25 15:00:00+00:00,2.4,2.9,252.0,1.6,81.0,0.0,989.2,1,1,1,1,1,1,1
2005-01-25 18:00:00+00:00,1.7000000000000002,2.4,272.0,1.7000000000000002,89.0,0.0,988.5,1,1,1,1,1,1,1
2005-01-25 21:00:00+00:00,1.9,1.9,299.0,1.3,90.0,0.0,987.2,1,1,1,1,1,1,1
2005-01-26 00:00:00+00:00,1.1,0.8,201.0,0.6000000000000001,83.0,0.0,986.2,1,1,1,1,1,1,1
2005-01-26 03:00:00+00:00,0.8,0.4,59.0,1.0,80.0,0.0,984.4,1,1,1,1,1,1,1
2005-01-26 06:00:00+00:00,1.5,0.9,35.0,4.5,85.0,0.0,981.5,1,1,1,1,1,1,1
2005-01-26 09:00:00+00:00,2.1,1.7000000000000002,354.0,1.8,78.0,0.0,979.7,1,1,1,1,1,1,1
2005-01-26 12:00:00+00:00,3.0,3.4,217.0,2.2,75.0,0.0,979.1,1,1,1,1,1,1,1
2005-01-26 15:00:00+00:00,3.5,5.0,349.0,1.4,74.0,0.0,979.7,1,1,1,1,1,1,1
2005-01-26 18:00:00+00:00,2.2,2.7,360.0,2.4,85.0,0.0,980.4,1,1,1,1,1,1,1
2005-01-26 21:00:00+00:00,1.2,1.1,208.0,4.0,81.0,0.0,982.1,1,1,1,1,1,1,1
2005-01-27 00:00:00+00:00,0.6000000000000001,0.2,198.0,2.9,81.0,0.0,983.6,1,1,1,1,1,1,1
2005-01-27 03:00:00+00:00,0.9,0.5,197.0,3.6,74.0,0.0,984.9,1,1,1,1,1,1,1
2005-01-27 06:00:00+00:00,1.0,0.3,230.0,1.6,78.0,0.0,986.2,1,1,1,1,1,1,1
2005-01-27 09:00:00+00:00,1.1,0.5,201.0,1.4,76.0,0.0,987.3,1,1,1,1,1,1,1
2005-01-27 12:00:00+00:00,1.3,1.4,260.0,2.0,71.0,0.0,988.3,1,1,1,1,1,1,1
2005-01-27 15:00:00+00:00,1.7000000000000002,2.3,296.0,2.4,74.0,0.0,989.2,1,1,1,1,1,1,1
2005-01-27 18:00:00+00:00,1.9,3.4,293.0,2.2,70.0,0.0,990.4,1,1,1,1,1,1,1
2005-01-27 21:00:00+00:00,2.2,2.3,271.0,0.6000000000000001,70.0,0.0,991.1,1,1,1,1,1,1,1
2005-01-28 00:00:00+00:00,1.6,1.7000000000000002,253.0,1.9,76.0,0.0,991.7,1,1,1,1,1,1,1
2005-01-28 03:00:00+00:00,1.1,0.7000000000000001,70.0,0.4,80.0,0.0,992.4,1,1,1,1,1,1,1
2005-01-28 06:00:00+00:00,0.9,0.4,34.0,1.7000000000000002,77.0,0.0,992.1,1,1,1,1,1,1,1
2005-01-28 09:00:00+00:00,1.1,0.7000000000000001,33.0,4.4,64.0,0.0,991.4,1,1,1,1,1,1,1
2005-01-28 12:00:00+00:00,1.9,1.2,38.0,7.5,63.0,0.0,989.1,1,1,1,1,1,1,1
2005-01-28 15:00:00+00:00,3.1,2.5,41.0,8.3,84.0,0.0,986.7,1,1,1,1,1,1,1
2005-01-28 18:00:00+00:00,3.1,2.7,39.0,4.1,91.0,0.0,987.3,1,1,1,1,1,1,1
2005-01-28 21:00:00+00:00,2.5,2.5,1.0,5.3,88.0,0.0,987.4,1,1,1,1,1,1,1
